PRODUCT TITLE,CATEGORY,PRICE TYPE,   PRICE,WOOD/STAIN/UNFINISHED CABINETRY,MAPLE INTERIORS/ALL PLYWOOD CONSTRUCTION,          CUSTOMER WORDING
"TALL LIVE END GRP-IV FLAT PANEL    25"" X 96""",                   TALL CABT  INTEGRAL  ( LIVE ) ENDS,1-HD,$480.00 , X ,,FLAT PANEL ENDS
"TALL LIVE END GRP-IV FLAT PANEL    25"" X 96""",                   TALL CABT  INTEGRAL  ( LIVE ) ENDS,2-HD,$526.00 , X ,,FLAT PANEL ENDS
"TALL LIVE END GRP-IV FLAT PANEL    25"" X 102""",                   TALL CABT  INTEGRAL  ( LIVE ) ENDS, SQR,$460.00 , X ,,FLAT PANEL ENDS
"TALL LIVE END GRP-IV FLAT PANEL    25"" X 102""",                   TALL CABT  INTEGRAL  ( LIVE ) ENDS,1-HD,$500.00 , X ,,FLAT PANEL ENDS
"TALL LIVE END GRP-IV FLAT PANEL    25"" X 102""",                   TALL CABT  INTEGRAL  ( LIVE ) ENDS,2-HD,$548.00 , X ,,FLAT PANEL ENDS
"TALL LIVE END GRP-IV FLAT PANEL    25"" X 108""",                   TALL CABT  INTEGRAL  ( LIVE ) ENDS, SQR,$480.00 , X ,,FLAT PANEL ENDS
"TALL LIVE END GRP-IV FLAT PANEL    25"" X 108""",                   TALL CABT  INTEGRAL  ( LIVE ) ENDS,1-HD,$526.00 , X ,,FLAT PANEL ENDS
"TALL LIVE END GRP-IV FLAT PANEL    25"" X 108""",                   TALL CABT  INTEGRAL  ( LIVE ) ENDS,2-HD,$568.00 , X ,,FLAT PANEL ENDS
"TALL LIVE END GRP-IV FLAT PANEL    25"" X 120""",                   TALL CABT  INTEGRAL  ( LIVE ) ENDS, SQR,$526.00 , X ,,FLAT PANEL ENDS
"TALL LIVE END GRP-IV FLAT PANEL    25"" X 120""",                   TALL CABT  INTEGRAL  ( LIVE ) ENDS,1-HD,$568.00 , X ,,FLAT PANEL ENDS
"TALL LIVE END GRP-IV FLAT PANEL    25"" X 120""",                   TALL CABT  INTEGRAL  ( LIVE ) ENDS,2-HD,$612.00 , X ,,FLAT PANEL ENDS
"TALL LIVE END GRP-V RAISED PANEL 25"" X 84""",                   TALL CABT  INTEGRAL  ( LIVE ) ENDS, SQR,$548.00 , X ,,RAISED PANEL ENDS
"TALL LIVE END GRP-V RAISED PANEL 25"" X 84""",                   TALL CABT  INTEGRAL  ( LIVE ) ENDS,1-HD,$590.00 , X ,,RAISED PANEL ENDS
"TALL LIVE END GRP-V RAISED PANEL 25"" X 84""",                   TALL CABT  INTEGRAL  ( LIVE ) ENDS,2-HD,$634.00 , X ,,RAISED PANEL ENDS
"TALL LIVE END GRP-V RAISED PANEL 25"" X 96""",                   TALL CABT  INTEGRAL  ( LIVE ) ENDS, SQR,$612.00 , X ,,RAISED PANEL ENDS
"TALL LIVE END GRP-V RAISED PANEL 25"" X 96""",                   TALL CABT  INTEGRAL  ( LIVE ) ENDS,1-HD,$656.00 , X ,,RAISED PANEL ENDS
"TALL LIVE END GRP-V RAISED PANEL 25"" X 96""",                   TALL CABT  INTEGRAL  ( LIVE ) ENDS,2-HD,$700.00 , X ,,RAISED PANEL ENDS
"TALL LIVE END GRP-V RAISED PANEL 25"" X 102""",                   TALL CABT  INTEGRAL  ( LIVE ) ENDS, SQR,$634.00 , X ,,RAISED PANEL ENDS
"TALL LIVE END GRP-V RAISED PANEL 25"" X 102""",                   TALL CABT  INTEGRAL  ( LIVE ) ENDS,1-HD,$678.00 , X ,,RAISED PANEL ENDS
"TALL LIVE END GRP-V RAISED PANEL 25"" X 102""",                   TALL CABT  INTEGRAL  ( LIVE ) ENDS,2-HD,$720.00 , X ,,RAISED PANEL ENDS
"TALL LIVE END GRP-V RAISED PANEL 25"" X 108""",                   TALL CABT  INTEGRAL  ( LIVE ) ENDS, SQR,$656.00 , X ,,RAISED PANEL ENDS
"TALL LIVE END GRP-V RAISED PANEL 25"" X 108""",                   TALL CABT  INTEGRAL  ( LIVE ) ENDS,1-HD,$700.00 , X ,,RAISED PANEL ENDS
"TALL LIVE END GRP-V RAISED PANEL 25"" X 108""",                   TALL CABT  INTEGRAL  ( LIVE ) ENDS,2-HD,$740.00 , X ,,RAISED PANEL ENDS
"TALL LIVE END GRP-V RAISED PANEL 25"" X 120""",                   TALL CABT  INTEGRAL  ( LIVE ) ENDS, SQR,$700.00 , X ,,RAISED PANEL ENDS
"TALL LIVE END GRP-V RAISED PANEL 25"" X 120""",                   TALL CABT  INTEGRAL  ( LIVE ) ENDS,1-HD,$720.00 , X ,,RAISED PANEL ENDS
"TALL LIVE END GRP-V RAISED PANEL 25"" X 120""",                   TALL CABT  INTEGRAL  ( LIVE ) ENDS,2-HD,$784.00 , X ,,RAISED PANEL ENDS
"TALL LIVE PANEL M.D.F. ROUTED PANELS  25"" X 84""",                   TALL CABT  INTEGRAL  ( LIVE ) ENDS,  EA,$208.00 , X ,,RAISED PANEL ENDS
"TALL LIVE PANEL M.D.F. ROUTED PANELS  25"" X 96""",                   TALL CABT  INTEGRAL  ( LIVE ) ENDS,  EA,$274.00 , X ,,RAISED PANEL ENDS
"TALL LIVE PANEL M.D.F. ROUTED PANELS  25"" X 102""",                   TALL CABT  INTEGRAL  ( LIVE ) ENDS,  EA,$328.00 , X ,,RAISED PANEL ENDS
"TALL LIVE PANEL M.D.F. ROUTED PANELS  25"" X 108""",                   TALL CABT  INTEGRAL  ( LIVE ) ENDS,  EA,$350.00 , X ,,RAISED PANEL ENDS
"TALL LIVE PANEL M.D.F. ROUTED PANELS  25"" X 120""",                   TALL CABT  INTEGRAL  ( LIVE ) ENDS,  EA,$394.00 , X ,,RAISED PANEL ENDS
             CORNER BASE CABINETS,,,   ,,,             CORNER BASE CABINETS
"CORNER BASE CAB 90 DEG. LAZY SUZAN  36"" X 36""",             CORNER BASE CABINETS, EA,$238.00 ,,,BASE LAZY SUSAN
"CORNER BASE CAB 90 DEG. LAZY SUZAN  36"" X 36"" W/DRWS",             CORNER BASE CABINETS, EA,$370.00 ,,,BASE LAZY SUSAN WITH DRAWERS
CORNER BASE CAB 90 DEG. LAZY SUSAN W/ BI FOLD DOOR,             CORNER BASE CABINETS, EA,$300.00 ,,,BASE LAZY SUSAN WITH BI-FOLD DOORS
CORNER BASE CAB 45 DEG. DIAG.. LAZY SUPER SUZAN,             CORNER BASE CABINETS, EA,$558.00 ,,,BASE SUPER SUSAN
"CORNER BASE CAB 45 DEG. DIAG. BASE 36"" X 36"" LAZY SUZAN ",             CORNER BASE CABINETS, EA,$238.00 ,,,BASE LAZY SUSAN
"CORNER BASE CAB 45 DEG. DIAG SINK BASE  42"" X 42""",             CORNER BASE CABINETS, EA,$238.00 ,,,DIAGONAL SINK BASE
CORNER BASE CAB ODD SIZE DIAG. BASE CABINET,             CORNER BASE CABINETS, EA,$340.00 ,,,DIAGONAL BASE CABINET
              CORNER UPPER CABINETS,, ,   ,,,              CORNER UPPER CABINETS
"CORNER UPPER DIAG 24"" X 24""- 30"" TALL /  SHELVES OR L.S.",              CORNER UPPER CABINETS, EA,$198.00 ,,,DIAGONAL WALL CABINET
"CORNER UPPER DIAG 24"" X 24""- 42"" TALL /  SHELVES OR L.S.",              CORNER UPPER CABINETS, EA,$247.00 ,,,DIAGONAL WALL CABINET
"CORNER UPPER DIAG 24"" X 24""- 60"" TALL /  SHELVES OR L.S.",              CORNER UPPER CABINETS, EA,$350.00 ,,,DIAGONAL WALL CABINET
CORNER UPPER ODD SIZE DIAG. CORNER UPPER CABINET,              CORNER UPPER CABINETS, EA,$404.00 ,,,DIAGONAL WALL CABINET
                   OVEN CABINETS,,,   ,,,                   OVEN CABINETS
"OVEN CABINET  UP TO 84"" TALL",                   OVEN CABINETS,  PLI,$25.35 ,X,X,OVEN CABINET
"OVEN CABINET UP TO  96"" TALL",                   OVEN CABINETS,  PLI,$25.85 ,X,X,OVEN CABINET
"OVEN CABINET UP TO 102"" TALL",                   OVEN CABINETS,  PLI,$28.85 ,X,X,OVEN CABINET
"OVEN CABINET UP TO 108"" TALL",                   OVEN CABINETS, PLI,$31.85 ,X,X,OVEN CABINET
"OVEN CABINET UP TO 120"" TALL",                   OVEN CABINETS, PLI,$34.85 , X , X ,OVEN CABINET
"OVEN CABINET DIAG UP TO 42"" X 42""-84"" TALL+OVEN CHARGE",                   OVEN CABINETS,  EA.,$784.00 ,,,DIAGONAL OVEN CABINET
"OVEN CABINET DIAG UP TO 42"" X 42""-96"" TALL+OVEN CHARGE",                   OVEN CABINETS,  EA.,$928.00 ,,,DIAGONAL OVEN CABINET
"OVEN CABINET DIAG UP TO 42"" X 42'-120""TALL +OVEN CHGE",                   OVEN CABINETS,  EA.,"$1,062.00 ",,,DIAGONAL OVEN CABINET
               REFRIGERATOR  LEGS,,,   ,,,               REFRIGERATOR  LEGS
"REF. LEGS 12 1/4"" DEEP X 84"" TALL       + UPPER COST",               REFRIGERATOR  LEGS,  EA.,$138.00 ,X,,REFRIGERATOR LEGS
"REF. LEGS 12 1/4"" DEEP X 96"" TALL       + UPPER COST",               REFRIGERATOR  LEGS,  EA.,$164.00 ,X,,REFRIGERATOR LEGS
"REF. LEGS 25 1/2"" DEEP X 84"" TALL LEGS   + UPPER COST",               REFRIGERATOR  LEGS,  EA.,$208.00 ,X,,REFRIGERATOR LEGS
"REF. LEGS 25 1/2"" DEEP X 96"" TALL LEGS   + UPPER COST",               REFRIGERATOR  LEGS,  EA.,$218.00 ,X,,REFRIGERATOR LEGS
"REF. LEGS 25 1/2"" DEEP X 102"" TALL LEGS + UPPER COST",               REFRIGERATOR  LEGS,  EA.,$284.00 ,X,,REFRIGERATOR LEGS
"REF. LEGS 25 1/2"" DEEP X 108"" TALL LEGS + UPPER COST",               REFRIGERATOR  LEGS,  EA.,$316.00 ,X,,REFRIGERATOR LEGS
"REF. LEGS 25 1/2"" DEEP X 120"" TALL LEGS + UPPER COST",               REFRIGERATOR  LEGS,  EA.,$316.00 ,X,,REFRIGERATOR LEGS
"REF. TOP RAIL BUILT IN  (NO UPPER) UP TO 6"" TALL",               REFRIGERATOR  LEGS,PLI,$2.00 ,X,,
"REF. TOP RAIL BUILT IN  (NO UPPER) 7"" TO12"" TALL",               REFRIGERATOR  LEGS,PLI,$3.00 ,X,,
"REF. TOP RAIL BUILT IN  (NO UPPER) OVER 12"" TALL",               REFRIGERATOR  LEGS,PLI,$4.00 ,X,,
         PANTRY-LINEN-BROOM CABINETS,,,   ,,,         PANTRY-LINEN-BROOM CABINETS
"PANTRY-LINEN-BROOM CABINET 84"" TALL   ( 5 ADJ. SHELVES )",         PANTRY-LINEN-BROOM CABINETS,  PLI,$29.80 ,X,X,PANTRY-LINEN-BROOM CABINET 
"PANTRY-LINEN-BROOM CABINET 96"" TALL   ( 6 ADJ. SHELVES )",         PANTRY-LINEN-BROOM CABINETS,  PLI,$34.30 ,X,X,PANTRY-LINEN-BROOM CABINET 
"PANTRY-LINEN-BROOM CABINET 102"" TALL ( 6 ADJ. SHELVES )",         PANTRY-LINEN-BROOM CABINETS,  PLI,$39.60 ,X,X,PANTRY-LINEN-BROOM CABINET 
"PANTRY-LINEN-BROOM CABINET 108"" TALL ( 7 ADJ. SHELVES )",         PANTRY-LINEN-BROOM CABINETS,  PLI,$45.00 ,X,X,PANTRY-LINEN-BROOM CABINET 
"PANTRY-LINEN-BROOM CABINET 120"" TALL ( 7 ADJ. SHELVES )",         PANTRY-LINEN-BROOM CABINETS,  PLI,$51.50 , X , X ,PANTRY-LINEN-BROOM CABINET 
"PANTRY-LINEN-BROOM CABINET 84"" TALL  (FIN INTERIOR)",         PANTRY-LINEN-BROOM CABINETS, PLI,$37.99 , X , X ,PANTRY-LINEN-BROOM CABINET 
"PANTRY-LINEN-BROOM CABINET 96"" TALL  (FIN INTERIOR)",         PANTRY-LINEN-BROOM CABINETS, PLI,$43.84 , X , X ,PANTRY-LINEN-BROOM CABINET 
"PANTRY-LINEN-BROOM CABINET 102"" TALL (FIN INTERIOR)",         PANTRY-LINEN-BROOM CABINETS, PLI,$50.73 , X , X ,PANTRY-LINEN-BROOM CABINET 
"PANTRY-LINEN-BROOM CABINET 108"" TALL (FIN INTERIOR)",         PANTRY-LINEN-BROOM CABINETS, PLI,$57.75 , X , X ,PANTRY-LINEN-BROOM CABINET 
"PANTRY-LINEN-BROOM CABINET 108"" TALL (FIN INTERIOR)",         PANTRY-LINEN-BROOM CABINETS, PLI,$66.20 , X , X ,PANTRY-LINEN-BROOM CABINET 
DIAGONAL PANTRY CABINETS / USE FRONT FACE + SET UP,         PANTRY-LINEN-BROOM CABINETS,  EA,$928.00 ,,,PANTRY-LINEN-BROOM CABINET 
DOUBLE FACE FRAME PANTRY ( 22 DEG ),,,   ,,,DOUBLE FACE FRAME PANTRY ( 22 DEG )
DOUBLE FACE FRAME PANTRY ( 22 DEG )  ,DOUBLE FACE FRAME PANTRY ( 22 DEG ),  PLI,$33.60 , X ,,PANTRY-LINEN-BROOM CABINET 
DOUBLE FACE FRAME CABINET SET UP CHARGE,DOUBLE FACE FRAME PANTRY ( 22 DEG ),  EA,$928.00 ,,,PANTRY-LINEN-BROOM CABINET 
        STRAIGHT OPEN FACE CASEWORK,, ,   ,,,        STRAIGHT OPEN FACE CASEWORK
"BOOKCASE 12 1/4"" DEEP  WITH ADJUSTABLE SHELVES",        STRAIGHT OPEN FACE CASEWORK,  PSF,$42.00 ,X,,BOOKCASE 
"BOOKCASE 12 1/4"" DEEP  WITH   FIXED SHELVES",        STRAIGHT OPEN FACE CASEWORK,  PSF,$58.00 ,X,,BOOKCASE 
"BOOKCASE OVER 12 1/4"" DEEP W/ ADJ. SHELVES",        STRAIGHT OPEN FACE CASEWORK,  PSF,$58.00 ,X,,BOOKCASE EXTRA DEPTH
"BOOKCASE OVER 12 1/4"" DEEP W/ FIXED. SHELVES",        STRAIGHT OPEN FACE CASEWORK,  PSF,$72.00 ,X,,BOOKCASE EXTRA DEPTH
STRAIGHT BOOKCASE W/ DOORS   ( HUTCH ),,,   ,,,STRAIGHT BOOKCASE W/ DOORS   ( HUTCH )
"HUTCH LEGS 18"" TALL X 12 1/4"" DEEP",STRAIGHT BOOKCASE W/ DOORS   ( HUTCH ), EA,$61.00 ,X,,"HUTCH LEGS 18"" TALL X 12 1/4"" DEEP"
"HUTCH LEGS 24"" TALL X 12 1/4"" DEEP",STRAIGHT BOOKCASE W/ DOORS   ( HUTCH ), EA,$82.00 ,X,,"HUTCH LEGS 24"" TALL X 12 1/4"" DEEP"
"HANGING FIN INT SHELF UP TO 24"" TALL (MICRO/BOOKS)",STRAIGHT BOOKCASE W/ DOORS   ( HUTCH ),  PLI,$4.50 ,X,,"HANGING FIN INT SHELF UP TO 24"" TALL (MICRO/BOOKS)"
"FINISHED BACKSPLASH TO 24"" TALL (PLAIN)",STRAIGHT BOOKCASE W/ DOORS   ( HUTCH ), PSF,$17.00 ,X,,"FINISHED BACKSPLASH TO 24"" TALL (PLAIN)"
"FINISHED BACKSPLASH TO 24"" TALL FLAT PANEL",STRAIGHT BOOKCASE W/ DOORS   ( HUTCH ),PSF,$34.00 ,X,,"FINISHED BACKSPLASH TO 24"" TALL FLAT PANEL"
"FINISHED BACKSPLASH TO 24"" TALL RAISED PANEL",STRAIGHT BOOKCASE W/ DOORS   ( HUTCH ), PSF,$41.00 ,X,,"FINISHED BACKSPLASH TO 24"" TALL RAISED PANEL"
CLOSET CASES (NO SHELVES OR ROD INCL),,,,,,CLOSET CASES (NO SHELVES OR ROD INCL)
"84"" TALL X 12 1/4"" DEEP W/O TOE",CLOSET CASES (NO SHELVES OR ROD INCL),PLI,$14.08 ,X,,CLOSET ENCLOSURE
"84"" TALL X 12 1/4"" DEEP WITH TOE",CLOSET CASES (NO SHELVES OR ROD INCL),PLI,$18.58 ,X,,CLOSET ENCLOSURE
"96"" TALL  X 12 1/4"" DEEP W/O TOE",CLOSET CASES (NO SHELVES OR ROD INCL),PLI,$15.46 ,X,,CLOSET ENCLOSURE
"96"" TALL X 12 1/4"" DEEP WITH TOE",CLOSET CASES (NO SHELVES OR ROD INCL),PLI,$20.15 ,X,,CLOSET ENCLOSURE
"108"" TALL X 12 1/4"" DEEP W/O TOE",CLOSET CASES (NO SHELVES OR ROD INCL),PLI,$16.84 ,X,,CLOSET ENCLOSURE
"108"" TALL X 12 1/4"" DEEP WITH TOE",CLOSET CASES (NO SHELVES OR ROD INCL),PLI,$21.34 ,X,,CLOSET ENCLOSURE
"84"" TALL X  25"" DEEP W/O TOE",CLOSET CASES (NO SHELVES OR ROD INCL),PLI,$15.64 ,X,,CLOSET ENCLOSURE
"84"" TALL X  25"" DEEP WITH TOE",CLOSET CASES (NO SHELVES OR ROD INCL),PLI,$17.39 ,X,,CLOSET ENCLOSURE
"96"" TALL  X 25"" DEEP W/O TOE",CLOSET CASES (NO SHELVES OR ROD INCL),PLI,$18.72 ,X,,CLOSET ENCLOSURE
"96"" TALL  X 25"" DEEP WITH TOE",CLOSET CASES (NO SHELVES OR ROD INCL),PLI,$20.47 ,X,,CLOSET ENCLOSURE
"108"" TALL X 25"" DEEP W/O TOE",CLOSET CASES (NO SHELVES OR ROD INCL),PLI,$29.75 ,X,,CLOSET ENCLOSURE
"108"" TALL X 25"" DEEP WITH TOE",CLOSET CASES (NO SHELVES OR ROD INCL),PLI,$27.90 ,X,,CLOSET ENCLOSURE
                                  OPTIONS,,,   ,,,                                  OPTIONS
                      ANGLED UPPERS,,,   ,,,                      ANGLED UPPERS
ANGLED UPPER CABINET EXTENDED FLOOR ONLY ,                      ANGLED UPPERS - OPTIONS,  EA,   ,,,ANGLED WALL CABINET 
ANGLED UPPER- FACE & FLOOR - INSIDE OR OUTSIDE CORNER,                      ANGLED UPPERS - OPTIONS,  EA,$150.00 ,,,ANGLED WALL CABINET 
ANGLED UPPER  /  CLIPPED CORNER - FACE OF CAB.,                      ANGLED UPPERS - OPTIONS,  EA.,$150.00 ,,,ANGLED WALL CABINET 
ANGLED UPPER CABINET ( COMPLETE CABINET ) DBL ENTRY,                      ANGLED UPPERS - OPTIONS,  EA.,$370.00 ,,,ANGLED WALL CABINET 
                       ANGLED BASE,,,   ,,,                       ANGLED BASE
ANGLED BASE SQUARE BOX / ANGLED END PANEL AT 45 DEG.,ANGLED BASE - OPTIONS,  EA,$90.00 ,,,ANGLED BASE CABINET
ANGLED BASE COMPLETE ANGLED BOX (PRICE FACE OF CAB),ANGLED BASE - OPTIONS,  EA,$150.00 ,,,ANGLED BASE CABINET
ANGLED BASE / CORNER BASE ( PRICE FACE OF CAB ),ANGLED BASE - OPTIONS,  EA,$404.00 ,,,ANGLED BASE CABINET
BASE RADIUS /   ( PRICE BASE CABINET ),ANGLED BASE - OPTIONS,  EA,$760.00 ,,,BASE RADIUS 
BASE CHASE  /   ( PRICE BASE CABINET ),ANGLED BASE - OPTIONS,  EA,$106.00 ,,,BASE CHASE  
ANGLED BASE / CORNER BASE ( PRICE FACE OF CAB ),ANGLED BASE - OPTIONS,  EA,$408.00 ,,,ANGLED BASE CABINET
ANGLED BASE BAT WING DOOR,ANGLED BASE - OPTIONS,  EA.,$100.00 ,,,ANGLED BASE CABINET
ANGLED BASE CLIPPED CORNER   ( FACE OF CABINET ),ANGLED BASE - OPTIONS,  EA.,$150.00 ,,,ANGLED BASE CABINET
                  TALL ANGLED CABINETS,, ,   ,,,                  TALL ANGLED CABINETS
"TALL ANGLE / CLIP CORNER      UP TO 96"" TALL",                  TALL ANGLED CABINETS - OPTIONS,  EA.,$210.00 ,,,ANGLED UNIT
TALL ANGLE ODD ANGLE,                  TALL ANGLED CABINETS - OPTIONS,  EA.,$404.00 ,,,ANGLED UNIT
A,,,   ,,,A
ARCHED FLOORS OR ROOFS IN CABINET,A - OPTIONS,EA.,$650.00 ,,,ARCHED FLOOR OR ROOF
ARCHED FLOORS OR ROOFS IN CABINET WITH ARCHED CROWN,A - OPTIONS,EA.,$850.00 ,,,ARCHED FLOOR OR ROOF WITH CROWN
A/V EQUIPT WOOD SHELF PULLOUT W/ FULL EX SIDE SLIDE,A - OPTIONS,  EA.,$152.00 ,,,HEAVY DUTY ROLLOUT SHELF
ACCESS ON PANEL BACKS (DOOR & DWR.),A - OPTIONS,  EA.,$84.00 ,,,ACCESS ON PANEL BACKS (DOOR & DWR.)
ACCESS ON PANEL BACKS (FULL HGT DOOR),A - OPTIONS,  EA.,$64.00 ,,,ACCESS ON PANEL BACKS (FULL HGT DOOR)
                                APPLIANCE GARAGES,,,   ,,,                                APPLIANCE GARAGES
"APPLIANCE GARAGE   DIAG. CORNER 24"" X 24""  18"" TALL",                                APPLIANCE GARAGES - OPTIONS,  EA.,$330.00 ,X,X,APPLIANCE GARAGE (ANGLED)    
"APPLIANCE GARAGE STRAIGHT TAMBOUR 18"" X 18"" X 48"" WIDE",                                APPLIANCE GARAGES - OPTIONS,  PLI,$9.90 ,X,X,APPLIANCE GARAGE (STRAIGHT)    
APPLIANCE GARAGE SET UP CHARGE FOR ABOVE ,                                APPLIANCE GARAGES - OPTIONS, ,$300.00 ,,,APPLIANCE GARAGE 
B,,,   ,,,B
BAT WING DOOR  -  PLUS DOORS,B - OPTIONS,SET,$100.00 ,,,BAT WING DOOR  
BAR FOOT RAIL - BRASS OR BRUSHED CHROME,B - OPTIONS,PLI,$5.30 ,,,BAR FOOT RAIL - BRASS OR BRUSHED CHROME
BREAD BOX - METAL LINER OR PLASTIC,B - OPTIONS,EA,$100.00 ,,,BREAD BOX - METAL LINER OR PLASTIC
BI-FOLD DOOR SET UP            (  PLUS  DOORS ),B - OPTIONS, EA,$100.00 ,,,BI-FOLD DOORS
BLIND CORNER UNIT (AMC9881-20-W),B - OPTIONS,  EA.,$486.00 ,,,BLIND CORNER UNIT 
BENCH SEAT BASE UNIT TO 30 TALL,B - OPTIONS,  PLI,$10.30 , X , X ,BENCH SEAT BASE UNIT TO 30 TALL
BENCH SEATS  WOOD LID,B - OPTIONS,  PLI,$4.80 ,X,,BENCH SEATS  WOOD LID
BENCH SEAT LIFT LID HINGE SET,B - OPTIONS, SET,$66.00 ,,,BENCH SEAT LIFT LID HINGE SET
BENCH SEAT RAISED PANEL,B - OPTIONS,  PSF,$41.00 ,X,,BENCH SEAT RAISED PANEL
BENCH SEAT DRAWERS (LARGE),B - OPTIONS, EA.,$132.00 ,,,BENCH SEAT DRAWERS (LARGE)
"BEAD BOARD, END, BACKS, PANEL BACKS",B - OPTIONS,  PSF,$26.00 ,X,,"BEAD BOARD, END, BACKS, PANEL BACKS"
BEAD BOARD BACK AS FINISHED INTERIOR,B - OPTIONS,  PSF,$11.10 ,X,,BEAD BOARD BACK AS FINISHED INTERIOR
C,,,   ,,,C
CASTER SET    4 - INSTALLED,C - OPTIONS,SET,$110.00 ,,,CASTER SET    4 - INSTALLED
COAT HOOKS - STANDARD,C - OPTIONS,  EA.,$6.40 ,,,COAT HOOKS - STANDARD
COAT HOOKS - PORCELAIN KNOB   ( FE - 179 ),C - OPTIONS,  EA.,$23.50 ,,,COAT HOOKS - PORCELAIN KNOB   
COAT HOOKS - BELWITH   ( BUP - 494 ),C - OPTIONS,  EA.,$32.00 ,,,COAT HOOKS - BELWITH  
CUTTING BOARD PULL OUT (MAPLE VENEER),C - OPTIONS,  EA.,$90.00 ,,,CUTTING BOARD PULL OUT (MAPLE VENEER)
CUTTING BOARD PULL OUT ( CORIAN ),C - OPTIONS,  EA.,$218.00 ,,,CUTTING BOARD PULL OUT ( CORIAN )
CUTTING BOARD    RAISED PANEL / DRAWER,C - OPTIONS,  EA.,$166.00 ,,,CUTTING BOARD    RAISED PANEL / DRAWER
"COAT RACK / BENCH UNIT   84"" TALL",C - OPTIONS,  PLI,$34.00 ,X,,"COAT RACK / BENCH UNIT   84"" TALL"
"COAT RACK / BENCH UNIT   96"" TALL",C - OPTIONS,  PLI,$36.00 ,X,,"COAT RACK / BENCH UNIT   96"" TALL"
"CORBAL 15"" X 15"" UP TO 1 1/2"" THICK",C - OPTIONS,  EA.,$54.00 ,X,,"CORBAL 15"" X 15"" UP TO 1 1/2"" THICK"
"CORBAL 15"" X 15"" UP TO 3"" THICK (WITH OR WITHOUT FLUTES)",C - OPTIONS, EA.,$108.00 ,X,,"CORBAL 15"" X 15"" UP TO 3"" THICK (WITH OR WITHOUT FLUTES)"
OUTSOURCE CORBAL,C - OPTIONS, EA.,$0.00 ,,,OUTSOURCE CORBAL
CUTLERY / UTENSIL PLASTIC DIVIDER,C - OPTIONS,  EA.,$76.00 ,,,CUTLERY / UTENSIL PLASTIC DIVIDER
CUTLERY / UTENSIL PLASTIC 2-TIERED,C - OPTIONS,  EA.,$194.00 ,,,CUTLERY / UTENSIL PLASTIC 2-TIERED
CUTLERY INSERT   (MAPLE),C - OPTIONS, EA,$166.00 ,,,CUTLERY INSERT   (MAPLE)
MAPLE KNIFE BLOCK AT DWR,C - OPTIONS,  EA.,$166.00 ,,,MAPLE KNIFE BLOCK AT DRAWER
CLOSET CHROME RODS #TB-1751 CHROME- TO 8',C - OPTIONS,  EA.,$87.00 ,,,CLOSET 
CLOSET CHROME RODS #TB-1751 CHROME- TO 12',C - OPTIONS,  EA.,$110.00 ,,,CLOSET 
CLOSET ROD FLANGES  #BC-504 SCH,C - OPTIONS,  SET,$20.00 ,,,CLOSET 
CUT-OUT  /  OUTLETS,C - OPTIONS,  EA.,$26.00 ,,,CUT-OUT  /  OUTLETS
CURVED  ( RADIUS )    SINK PANEL,C - OPTIONS,  EA.,$300.00 ,,,CURVED  ( RADIUS )    SINK PANEL
D,,,   ,,,D
SLAB DRAWER FRONTS / FULL OVERLAY,D - OPTIONS,  EA,$6.00 ,X,,SLAB DRAWER FRONTS / FULL OVERLAY
DOORS ONLY ( BASIC )  + DOOR STYLE,D - OPTIONS,  PSF,$17.00 ,X,,DOORS ONLY 
DWR./ AUDIO-VIDEO TAPE DIVIDER,D - OPTIONS,  EA.,$142.00 ,,,AUDIO-VIDEO TAPE DIVIDERS
"DRAWER BANK  4 - TO 24"" WIDE",D - OPTIONS,  EA.,$251.40 ,,,"DRAWER BANK  4 - TO 24"" WIDE"
"DRAWER BANK  3 - TO 24"" WIDE",D - OPTIONS,  EA.,$167.60 ,,,"DRAWER BANK  3 - TO 24"" WIDE"
CHARGE FOR DRAWER BOXES TO BE MELAMINE ,D - OPTIONS,  EA.,$118.00 ,,,MELAMINE DRAWER BOXES
"DRAWER/ FILE HANGER W/FULL EXT. SLIDES  UP TO 24"" ",D - OPTIONS,  EA.,$152.00 ,,,"FILE HANGERS UP TO 24"" "
"DRAWER/ FILE HANGER W/FULL EXT. SLIDES  OVER 24"" ",D - OPTIONS,  EA.,$198.00 ,,,"FILE HANGERS OVER 24"" "
"DRAWERS OVER 24"" WIDE",D - OPTIONS,  EA.,$149.80 ,,,EXTRA WIDE DRAWERS
DRAWERS / INDIVIDUAL  EXTRA 24 DEEP,D - OPTIONS,  EA.,$83.80 ,,,DRAWERS (ADDITIONAL)
DRAWERS / INDIVIDUAL  EXTRA 30 DEEP ,D - OPTIONS, EA,$116.80 ,,,EXTRA DEEP DRAWERS
UPCHARGE FOR DRAWERS 30 DEEP,D - OPTIONS, EA,$33.00 ,,,EXTRA DEEP DRAWERS
DROP FRONT TILT OUT TRAYS  ( PER SET ),D - OPTIONS,  EA.,$90.00 ,,,TILT OUT TRAYS  ( PER SET )
"DRAWER SLIDES FULL EXT.  UP TO 22""",D - OPTIONS,  EA.,$52.00 ,,,"DRAWER SLIDES FULL EXT.  UP TO 22"""
"DRAWER SLIDES FULL EXT.  UP TO 28""",D - OPTIONS,  EA.,$66.00 ,,,"DRAWER SLIDES FULL EXT.  UP TO 28"""
